tau=0.1,tau=0.25,tau=0.5,tau=1,tau=5,naive
0.3075671162624762,0.2695287623063278,0.8054398104213943,0.5174973640255824,0.12969791338744696,0.037517137257411126
0.3856057736812671,0.9592315622472969,0.2862062921204871,0.44374825610003027,0.7760635220029709,6.615106057372699e-07
0.7606117242821779,0.5079538402565785,0.9043715965403488,0.9458871773693704,0.7860146148792395,4.109870485491385e-05
0.33738532148783384,0.7686976273262899,0.8317576044301693,0.546170671403105,0.8146003262291838,0.0001940038567633806
0.9608212826685228,0.6756761919010289,0.12203991312178693,0.8872714499291579,0.3638098157696984,8.164047111125505e-06
0.4194548107969657,0.6678931691685791,0.5375019004887304,0.7011002945371542,0.548220334518375,0.00017459062195179786
0.011426489576127876,0.2098630723882897,0.7682750575950282,0.3213456771170053,0.8882312140295033,0.0015327247940805089
0.007320179479831964,0.8535062431759294,0.03337645054635797,0.8481411324070715,0.8805498210105098,0.0007683074366016118
0.38865522204093095,0.9278487557952811,0.7607907858964366,0.8116618818380859,0.8168529149850554,0.00047935543801180813
0.42850442840516106,0.9619111404922693,0.10941212793200619,0.36743258550339847,0.9711323761872401,5.074651989711576e-05
0.16641071045776987,0.6771941159024173,0.5067241780598165,0.8772305616159564,0.7539267412447883,0.0011641061236293826
0.8011346654617865,0.4642913219413028,0.016962049697080813,0.2417377994172822,0.8115384335746839,1.366950576286996e-06
0.004468703511266774,0.673903069177401,0.6738503202527929,0.6005856208696171,0.06615867460473718,0.0012868990918085688
0.42117221501381097,0.9828063475317695,0.290283528946738,0.10739867948873166,0.7021175346346226,0.0004627080204594458
0.5105530283079939,0.14217863305939893,0.5581631539924129,0.6360749069605696,0.6395806844711719,0.0013702487004471076
0.8395069842636863,0.9272269040190821,0.7431420657446074,0.027502204417631224,0.9960985176305133,7.72923107560386e-05
0.9352645641783065,0.160471396733183,0.3399185930003307,0.7631489385548108,0.6979480990790705,0.00762750925290967
0.548261610948335,0.23208356052553658,0.47788796495952507,0.9988458564470953,0.05440266045669626,8.822696711985323e-06
0.5559716174192272,0.4503825508634962,0.7832456103985678,0.8582916809712701,0.26846607800091316,2.4475058979622766e-05
0.14022467057791002,0.9419094122856065,0.903035132004011,0.07097714986177009,0.07117765929237427,8.275312054595307e-05
0.49559254501266564,0.07466306447872635,0.2534564377461785,0.6127689355783958,0.33103760060099147,0.0011350801204660366
0.5408564231357086,0.9906810084035537,0.8253433588128193,0.2581554490466,0.8945841775222442,0.00019257716598175545
0.9251382813812055,0.6759468603523625,0.4127351003817504,0.7356626622352632,0.987579085474248,7.707831050751679e-06
0.6348360313470197,0.3672703694168026,0.9889066421419138,0.7040849614743222,0.38496045010508223,0.006558122547444811
0.8954837666894732,0.6921406335760429,0.397388954492319,0.25550486583250626,0.19397547902334186,0.002844177383955371
0.22153733767511585,0.7234354345168947,0.5144055465704237,0.7245829224788397,0.06962963662161718,0.06319468312140986
0.7600517971273286,0.4441597663006847,0.7218787267191396,0.35644009867699966,0.3493502972888943,0.00016897986591934977
0.9990356644156898,0.947205866640325,0.7316589009303832,0.4054210682460594,0.08996058390452494,0.023181699481184648
0.7613938875642701,0.9104623889996397,0.6461382279768899,0.8439791700124114,0.3301391128510126,1.6274645020519785e-06
0.3358405488303244,0.28019601283777884,0.8805191674449229,0.15387625748148,0.3968990703686856,0.002479486798128705
0.7626079342159899,0.5979772050543319,0.11689933247266433,0.23403640979093346,0.02974374815516898,1.1725470660417514e-05
0.9321612376625905,0.34736545452187295,0.9747760232361339,0.8140807189688466,0.11443787811333296,0.0029115925129230558
0.10091007568695157,0.8045685513132669,0.8718616635075384,0.9265799235452007,0.01095204038484197,0.0006457924596152687
0.9465476832917191,0.844301453865408,0.04621007919859684,0.5926992953387726,0.8441152828461627,0.0003123779195961518
0.8292748146204668,0.8924569637918365,0.3925853955710999,0.8631527592326611,0.8693518419452752,0.0012319477813599322
0.22765709418384997,0.7963912858677067,0.5479268734949155,0.8662596614350336,0.761328439769429,0.003777397208481581
0.5890315644044662,0.034430325031023175,0.67093109859675,0.7416499703343151,0.5013025898126553,0.010555557213246747
0.4761570861655971,0.16627678898502046,0.5736164774618356,0.5327597850522661,0.8389088975478685,0.0003365108357445967
0.8259942656544251,0.23366234923014498,0.5440932834180275,0.742956728380287,0.7761119705237556,0.0002876957379682743
0.520197187152075,0.8235746951353417,0.24290376142311257,0.6240644397236197,0.21284203516210742,5.642848013598378e-05
0.20381996717196255,0.593302206785579,0.374612212174033,0.3874655681581914,0.7346523990355215,0.003471749535790325
